bird,sex,group,age,wt_55,Bursa_pool,Ileum_pool,SSgroup.virus.sac,SSgroup.virus.avg,SSgroup.I2.graph,virus.sac,virus.avg,virus.dpi1,virus.dpi2,virus.dpi3,virus.dpi4,virus.dpi5,virus.dpi8,virus.dpi11,virus.dpi13,virus.dpi15,virus.avg.dpi2,virus.avg.dpi3,virus.avg.dpi4,virus.avg.dpi5,virus.avg.dpi15,Rsum.dpi2,Rsum.dpi3,Rsum.dpi4,Rsum.dpi5,bursa,ileum,Cecum.BB,Cecum.CC,Cecum.Crypts,Colon.BB,Colon.CC,Colon.Crypts,Ileum.BB,Ileum.CC,Ileum.Crypts,Proximal.BB,Proximal.CC,Proximal.Crypts,AB_DPI_5,AB_DPI_8,AB_DPI_11,AB_DPI_15,AB_DPI_22,AB_DPI_29,AB_sum,AB_avg,sac_wt,RINbursa,RINbursa_seq,RINileum,RINileum_seq,lab_RINileum,Metric.virus.sac,Metric.virus.avg,SSMetric.virus.sac,SSMetric.virus.avg,virus.avg.15dpi,virus.sum.dpi1to29,nest,hatchdate,room,sacdate,bcs,wound,droop,shedstat_OLD,shedstat_spec,shedstat_conf,shedavg,sacdayshed,X20.80_group,X20.80_groupM,SS_group_A1,Confident.SS_Group.x
62,MALE,I-1,64,800,MSU_4,UMN,HIGH,HIGH,NA,1604384.528,1604384.53,1604384.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82541.36,12024152,0,0,0,0,0,1.5,4,3.5,1.5,2.5,7.5,11,NA,NA,NA,NA,NA,NA,NA,NA,800,9.550347715,9.550347715,4.9,4.9,UMN,six,six,HIGH,HIGH,1604384.53,1604384.53,381,7-Jul,108,9/10/2015,4,N,N,S,H,H,78980000,78980000,High,High,High,High
56,MALE,I-1,66,889,MSU_4,UMN,HIGH,HIGH,NA,1056411.714,1056411.71,1056411.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371519.75,17899235.5,80,80,71,80,80,80,80,80,80,44,24.5,41,NA,NA,NA,NA,NA,NA,NA,NA,860,10,10,8.8,8.8,UMN,six,six,HIGH,HIGH,1056411.71,1056411.71,511,5-Jul,108,9/10/2015,4,N,N,S,H,H,5.20E+07,5.20E+07,High,High,High,High
2,MALE,I-1,101,996.4,MSU_1,UMN,HIGH,HIGH,NA,348387.195,348387.2,348387.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528661.5,2660027.75,3.75,3.75,3,NA,NA,32,NA,NA,35,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,900,8.883404696,8.883404696,5.5,5.5,UMN,five,five,HIGH,HIGH,348387.2,348387.2,78,31-May,108,9/10/2015,4,Y,N,S,H,H,17175000,17175000,High,High,High,High
66,MALE,I-1,62,800,MSU_4,UMN,MODERATE,MODERATE,NA,44900.964,44900.96,44900.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3396319,25000725,NA,NA,80,35,35,35,4,5,6.5,1.25,3.125,0,NA,NA,NA,NA,NA,NA,NA,NA,860,9.833243377,9.833243377,8.3,8.3,UMN,four,four,MODERATE,MODERATE,44900.96,44900.96,427,9-Jul,108,9/10/2015,4,N,N,M,M,M,2210000,2210000,,,Moderate,Moderate
14,MALE,I-1,87,1000,MSU_1,,MODERATE,MODERATE,NA,11066.47,11066.47,11066.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135259.68,4088446.875,NA,NA,0,0.5,0,0,NA,NA,0,0,2.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,910,9.1,9.1,4.5,NA,UMN,four,four,MODERATE,MODERATE,11066.47,11066.47,56,14-Jun,108,9/10/2015,3,Y,Y,M,M,NA,544750,544750,,,Moderate,NA
32,MALE,I-1,78,980,MSU_2,,MODERATE,MODERATE,NA,10810.3975,10810.4,10810.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102662.285,4153468.5,0,0,0.714285714,35,35,1.5,0,0,0,1.5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1010,8.532327739,8.532327739,3.5,NA,UMN,four,four,MODERATE,MODERATE,10810.4,10810.4,143,23-Jun,108,9/10/2015,4,N,N,L,M,NA,532250,532250,,,Moderate,NA
6,FEMALE,I-1,100,769,MSU_1,UMN,MODERATE,MODERATE,NA,945.735,945.74,945.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4324.615,6311.66,0.625,0,0,3.5,3,0.5,5,11,0,0.625,3.125,1.5,NA,NA,NA,NA,NA,NA,NA,NA,730,9.8200174,9.8200174,9.4,9.4,UMN,two,two,LOW,LOW,945.74,945.74,19,1-Jun,108,9/10/2015,3,N,N,L,M,NA,46575,46575,,,Moderate,NA
54,FEMALE,I-1,66,980,MSU_3,UMN,MODERATE,MODERATE,NA,752.2425,752.24,752.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6629.15,0,NA,NA,0,0.714285714,1.428571429,2.5,2.5,5,5,1.111111111,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,880,10,10,8.2,8.2,UMN,two,two,LOW,LOW,752.24,752.24,665,5-Jul,108,9/10/2015,5,N,N,L,M,NA,37050,37050,,,Moderate,NA
28,FEMALE,I-1,79,786.6,MSU_2,UMN,MODERATE,MODERATE,NA,483.16,483.16,483.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7314.63,14892.82,1.25,1.25,2.777777778,32,14,11,0,7.222222222,3.5,3.125,1.875,1.5,NA,NA,NA,NA,NA,NA,NA,NA,940,8.676289178,8.676289178,7.3,7.3,UMN,two,two,LOW,LOW,483.16,483.16,522,22-Jun,108,9/10/2015,5,N,N,L,M,NA,23802.5,23802.5,,,Moderate,NA
49,FEMALE,I-1,70,640,MSU_3,UMN,LOW,LOW,NA,89.486,89.49,89.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47171.095,248.155,0.555555556,0.555555556,0,1,2.5,4,NA,NA,0.625,1.5,7.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,640,10,10,5.8,5.8,UMN,one,one,LOW,LOW,89.49,89.49,404,1-Jul,108,9/10/2015,4,N,N,L,L,NA,4397.8,4397.8,,,Low,NA
64,FEMALE,I-1,63,700,MSU_4,UMN,LOW,LOW,NA,13.492,13.49,13.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.595,18515.33,80,35,31.25,11,8,35,2.5,5,4.5,0,3.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,740,9.866505443,9.866505443,4.9,4.9,UMN,one,one,LOW,LOW,13.49,13.49,490,8-Jul,108,9/10/2015,3,Y,N,L,L,NA,664.6,664.6,,,Low,NA
73,FEMALE,I-1,60,640,MSU_5,UMN,LOW,LOW,NA,9.946,9.95,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8610.525,718.71,0,0,0,0,0,0,5,3.5,1,1.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,640,10,10,6,6,UMN,zero,zero,LOW,LOW,9.95,9.95,618,11-Jul,108,9/10/2015,4,N,N,L,L,NA,489.8,489.8,,,Low,NA
47,FEMALE,I-1,71,778.5,MSU_3,,LOW,LOW,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50227.885,1249.89,68.75,68.75,65,80,17.85714286,35,14,20,39.5,2.5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,740,10,10,4.9,NA,UMN,zero,zero,LOW,LOW,0,0,622,30-Jun,108,9/10/2015,4,N,N,L,L,NA,0,0,,,Low,NA
69,MALE,I-1,61,740,MSU_4,UMN,LOW,LOW,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7761.57,0,0,0.714285714,NA,NA,NA,NA,NA,NA,0,0.833333333,0,NA,NA,NA,NA,NA,NA,NA,NA,800,9.485675414,9.485675414,5.6,5.6,UMN,zero,zero,LOW,LOW,0,0,623,10-Jul,108,9/10/2015,3,N,N,NA,L,NA,0,0,,,Low,NA
70,FEMALE,I-1,61,790,MSU_4,UMN,LOW,LOW,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7286.055,8923.355,59.375,59.375,19.5,3.571428571,2.857142857,1.5,NA,NA,0,15.5,17,20,NA,NA,NA,NA,NA,NA,NA,NA,890,9.290995124,9.290995124,7,7,UMN,zero,zero,LOW,LOW,0,0,595,10-Jul,108,9/10/2015,4,N,N,L,L,NA,0,0,,,Low,NA
58,MALE,I-2,64,800,MSU_4,MSU_6,HIGH,HIGH,HIGH,116545.38,71706.2,26867.02,116545.38,NA,NA,NA,NA,NA,NA,NA,71706.2,NA,NA,NA,NA,143412.4,NA,NA,NA,1456994.625,17867629.5,46.25,38.75,7.5,35,35,5,53,50,32,50,53,50,NA,NA,NA,NA,NA,NA,NA,NA,820,9.899766642,9.899766642,9.674579661,9.674579661,MSU,five,four,HIGH,MODERATE,71706.2,143412.4,352,7-Jul,107,9/11/2015,5,N,N,S,M,M,3528333.334,5736666.667,,,Moderate,Moderate
7,FEMALE,I-2,98,944,MSU_1,MSU_5,HIGH,MODERATE,HIGH,81001.41333,47141.105,13280.8,81001.41,NA,NA,NA,NA,NA,NA,NA,47141.11,NA,NA,NA,NA,94282.21,NA,NA,NA,877148,1357100.44,4,4,25,3.5,5,39.5,2.5,35,53,0,3,35,NA,NA,NA,NA,NA,NA,NA,NA,940,10,10,8.757176354,8.757176354,MSU,four,four,MODERATE,MODERATE,47141.11,94282.21,126,3-Jun,107,9/11/2015,5,N,N,L,M,NA,2320333.334,3986666.667,,,Moderate,NA
31,FEMALE,I-2,78,940,MSU_2,MSU_5,MODERATE,MODERATE,HIGH,9780.64,48838.94,87897.24,9780.64,NA,NA,NA,NA,NA,NA,NA,48838.94,NA,NA,NA,NA,97677.88,NA,NA,NA,68314.355,6713223.25,80,80,80,48.5,41,80,45.5,45.5,66.5,4.166666667,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,870,9.1,9.1,8.655550962,8.655550962,MSU,three,four,LOW,MODERATE,48838.94,97677.88,143,23-Jun,108,9/11/2015,3,Y,N,M,M,NA,2404166.667,481666.667,,,Moderate,NA
52,MALE,I-2,68,991.8,MSU_3,UMN,MODERATE,MODERATE,HIGH,4517.83,69893.77,135269.71,4517.83,NA,NA,NA,NA,NA,NA,NA,69893.77,NA,NA,NA,NA,139787.54,NA,NA,NA,0,10441.84,80,48.5,39.5,33.5,62,32,11,17,20,5,23,23,NA,NA,NA,NA,NA,NA,NA,NA,830,10,10,6.5,6.5,UMN,three,four,LOW,MODERATE,69893.77,139787.54,202,3-Jul,107,9/11/2015,4,N,N,M,M,M,3441250,222500,,,Moderate,Moderate
