ensembl_gene_id	gene_biotype	hgnc_symbol	description	entrezgene_id
ENSAPLG00020000002	lncRNA			NA
ENSAPLG00020000003	protein_coding			NA
ENSAPLG00020000004	protein_coding	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]	NA
ENSAPLG00020000005	protein_coding	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	NA
ENSAPLG00020000006	protein_coding	MAOA	amine oxidase [flavin-containing] A [Source:NCBI gene;Acc:101793000]	101793000
ENSAPLG00020000007	lncRNA			NA
ENSAPLG00020000008	protein_coding	MRPS33	mitochondrial ribosomal protein S33 [Source:NCBI gene;Acc:101794208]	101794208
ENSAPLG00020000009	protein_coding		amine oxidase [flavin-containing] B [Source:NCBI gene;Acc:101792808]	101792808
ENSAPLG00020000010	protein_coding	ZHX1	zinc fingers and homeoboxes 1 [Source:HGNC Symbol;Acc:HGNC:12871]	NA
ENSAPLG00020000011	protein_coding			NA
ENSAPLG00020000012	protein_coding			NA
ENSAPLG00020000013	protein_coding	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	NA
ENSAPLG00020000014	protein_coding	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	NA
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113841536
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113841537
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113841539
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842560
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842949
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842950
ENSAPLG00020000015	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842951
ENSAPLG00020000016	lncRNA			NA
ENSAPLG00020000017	protein_coding		norrin cystine knot growth factor NDP [Source:NCBI gene;Acc:101803950]	101803950
ENSAPLG00020000018	protein_coding	HTR1F	5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292]	NA
