ensembl_transcript_id	transcript_biotype	hgnc_symbol	description	entrezgene_id
ENSAPLT00020000002	lncRNA			NA
ENSAPLT00020000003	protein_coding			NA
ENSAPLT00020000004	protein_coding	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]	NA
ENSAPLT00020000005	protein_coding	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	NA
ENSAPLT00020000006	protein_coding	MAOA	amine oxidase [flavin-containing] A [Source:NCBI gene;Acc:101793000]	101793000
ENSAPLT00020000007	lncRNA			NA
ENSAPLT00020000008	protein_coding	MRPS33	mitochondrial ribosomal protein S33 [Source:NCBI gene;Acc:101794208]	101794208
ENSAPLT00020000009	protein_coding		amine oxidase [flavin-containing] B [Source:NCBI gene;Acc:101792808]	101792808
ENSAPLT00020000010	protein_coding	ZHX1	zinc fingers and homeoboxes 1 [Source:HGNC Symbol;Acc:HGNC:12871]	NA
ENSAPLT00020000011	protein_coding			NA
ENSAPLT00020000012	protein_coding			NA
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113841536
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113841537
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113841539
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842560
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842949
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842950
ENSAPLT00020000013	protein_coding		feather beta keratin-like [Source:NCBI gene;Acc:113842949]	113842951
ENSAPLT00020000014	protein_coding	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	NA
ENSAPLT00020000015	lncRNA			NA
ENSAPLT00020000016	protein_coding		norrin cystine knot growth factor NDP [Source:NCBI gene;Acc:101803950]	101803950
ENSAPLT00020000017	protein_coding			NA
ENSAPLT00020000018	protein_coding	HTR1F	5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292]	NA
ENSAPLT00020000019	protein_coding	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	NA
ENSAPLT00020000020	protein_coding	EFHC2	EF-hand domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26233]	NA
ENSAPLT00020000021	protein_coding	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	NA
ENSAPLT00020000022	protein_coding		Anas platyrhynchos POU class 1 homeobox 1 (POU1F1), mRNA. [Source:RefSeq mRNA;Acc:NM_001310365]	101798745
ENSAPLT00020000023	protein_coding	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	NA
ENSAPLT00020000024	protein_coding			NA
ENSAPLT00020000025	protein_coding	CHMP2B	charged multivesicular body protein 2B [Source:NCBI gene;Acc:101801259]	101801259
ENSAPLT00020000026	protein_coding	FUNDC1	FUN14 domain containing 1 [Source:NCBI gene;Acc:101792615]	101792615
ENSAPLT00020000027	protein_coding	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	NA
ENSAPLT00020000028	protein_coding	OPN1SW	opsin 1, short wave sensitive [Source:HGNC Symbol;Acc:HGNC:1012]	NA
ENSAPLT00020000029	lncRNA			NA
ENSAPLT00020000030	protein_coding	VGLL3	vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]	NA
ENSAPLT00020000031	protein_coding	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	NA
ENSAPLT00020000032	protein_coding			NA
ENSAPLT00020000033	protein_coding	CADM2	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	NA
ENSAPLT00020000034	protein_coding			NA
ENSAPLT00020000035	protein_coding			NA
ENSAPLT00020000036	protein_coding			NA
ENSAPLT00020000037	protein_coding			NA
ENSAPLT00020000038	protein_coding	SND1	staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]	NA
ENSAPLT00020000039	protein_coding	LRRC4	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]	NA
